,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,strain_type
91,Alpine Star,3,0,0.75,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.569444444,,,,,,0.583333333,,,0.716049383,,0.756944444,0.723214286,,0.358024691,,1,0.241071429,,0.723214286,,,,,0.691358025,,0.611111111,,1,,0.691358025,indica
92,Ambrosia,2,0,0.5,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56187291,,0.024193548,,,1,,,,1,,,0.040322581,,,,0.618729097,,0.545150502,0.032258065,,,0.960227273,0.946488294,0.090909091,,,,,0.863636364,0.056818182,hybrid
93,American Dream,3,0,0.565,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.171296296,,,,0.339449541,0.5,,0.676470588,0.235474006,,0.013888889,,,,0.321100917,0.013888889,,,,,0.632352941,1,,,0.886850153,1,,0.544117647,,hybrid
94,American Kush,2,0,0.7,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.940298507,,0.111111111,0.895522388,0.111111111,0.925373134,,0.018518519,,,,,0.037037037,,,,,,1,0.148148148,,0.880597015,,1,0.092592593,,indica
95,American Pie,3,0,0.4,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,0.333333333,1,,,,,,,1,,,,,,1,1,,,1,,,,,hybrid
96,Amethyst,2,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,0.111111111,,0.5,,,,,0.5,0.888888889,0.944444444,0.888888889,,0.5,,,,,hybrid
97,Amethyst Bud,2,0,0.38,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.692307692,0.692307692,,,1,,,,0.625,,,0.769230769,0.285714286,,0.285714286,,,0.25,0.538461538,0.625,,1,,,,0.625,hybrid
98,Amnesia,0,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,0.376156675,0.930481981,,1,,,,0.974176205,,,0.247046825,,0.328967849,,0.786545484,0.224135816,,0.648199952,,0.787127233,1,,0.47525742,,0.724108122,,,,0.444562065,hybrid
99,Amnesia Haze,0,0,0.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0.317798206,0.722078966,0.479490878,1,,,,0.950203059,,,0.393613407,,0.626968391,,0.80455015,,,0.457060655,,,1,0.705437277,0.674721701,,0.877966438,,,,,sativa
100,Amnesia OG,0,0,0.01,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.56,,0.714285714,0.4,1,,,,0.214285714,,,0.92,,,,,,0.928571429,1,0.142857143,,0.64,,,,,sativa
101,Ancient OG,0,0,0.85,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,0.2,,,,,,0.514272122,1,,,,0.934604905,,,0.520694577,,,0.1,0.563510942,,0.991825613,1,,,0.971455756,,,0.942779292,0.959128065,indica
102,Anesthesia,1,0,0.9,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.936619718,0.105960265,,,0.119205298,,,,,0.929577465,,0.915492958,0.086092715,0.2,,0.466666667,0.913907285,,,1,0.169014085,,,,,,1,indica
103,Angel OG,2,0,0.93,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.75,,,0.676767677,,0.787234043,0.949494949,0.787234043,0.525252525,,,,0.787234043,,,,,,,,,1,0.893617021,,0.626262626,,,,1,indica
104,Animal Cookies,1,0,0.5,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368031299,,0.506765696,0.808361399,,,0.618106764,0.942357658,,,,,,,0.6453462,0.363342551,,0.505409575,,,1,1,0.905243202,,0.583347529,,,,0.704852004,hybrid
105,Anonymous OG,0,0,0.7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,0.045454545,,1,0.8125,,,0.84375,1,,,,1,,,,,,1,0.0625,,,1,,,0.15625,,1,,1,indica
106,Anubis,0,0,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,0.5,,,,1,,,1,,,,0.428571429,,0.357142857,,,,0.923076923,1,0.615384615,0.384615385,0.785714286,,,,0.230769231,indica
107,Ape Shit,2,0,0.5,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,0.666666667,,,,,,,0.96875,,0.90625,,,1,1,0.15625,,,,,0.666666667,0.333333333,0.666666667,hybrid
108,Apollo 11,0,0,0.413519981,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,0.716117216,0.465197216,0.951923077,0.725274725,0.563568376,,,,1,,,0.453596288,,,,0.801816239,0.02900232,0.425747863,,,,,,0.871794872,,1,,,,0.752747253,hybrid
109,Apollo 13,0,0,0.575,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,0.488421053,0.130801688,0.453473132,0.458947368,0.903014417,,0.494736842,,1,,,,,,,1,0.063291139,,0.139240506,,0.744429882,,,0.614736842,,0.938401048,,,,,hybrid
110,Appalachia,3,0,0.5,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.875,,0.375,0.5625,1,,,,0.875,,,0.5,,,,0.53125,,,0.5,,,0.8125,0.875,1,,0.625,,,,,hybrid
111,Appalachian Power,0,0,0.11,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0.75,,,,,,0.75,,,,,,,,,,0.5,,0.5,,,,,,,,1,,,,,sativa
112,Apple Jack,3,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0.598039216,,0.027355623,,0.617433414,0.754901961,,,,0.600484262,,,0.234042553,0.578692494,,,1,,,0.20668693,0.604575163,,1,0.933006536,,,,,,,0.617433414,hybrid
113,Apple Kush,2,0,0.55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0.680203046,,0.302083333,1,,,,1,,,,,,,0.698046181,0.091370558,,0.045685279,0.618117229,,0.90625,0.937833037,0.674479167,,0.857904085,,,,0.419270833,hybrid
114,Appleberry,2,0,0.7,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.646464646,,0.5,0.444444444,1,,0.292929293,0.896551724,,0.40625,,,,,0.103448276,,,0.953125,1,0.953125,,0.585858586,,,,,indica
115,Arabian Gold,2,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,0.019607843,,1,1,,,,,,,,,,0.125,0.019607843,,,0.980392157,0.2,,0.088235294,,,,0.8,hybrid
116,Arctic Sun,2,0,0.45,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.333333333,,,0.333333333,,,1,,,1,,,,,,,,,,,,,,1,,,0.333333333,,,,,hybrid
117,ArcticBlue,1,0,0.55,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,1,,,,1,,,0.5,,,,0.924369748,,0.462184874,,,,0.571428571,0.663865546,0.714285714,,0.588235294,,,0.428571429,0.857142857,hybrid
118,Area 51,3,0,0.375,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511278195,,0.784366577,,,,,,0.629072682,1,,,,,0.256544503,,0.619047619,0.016172507,,,,,0.837696335,1,0.54973822,,0.604010025,,,0.356020942,,hybrid
119,Argyle,3,0,0.8,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.414965986,0.948717949,1,,,1,,0.794871795,,0.897435897,,,,,,0.743589744,0.401360544,,,,,,,0.653061224,1,,0.210884354,,,,,indica
120,Arjan's Strawberry Haze,2,0,0.28,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028560301,0.723875901,,0.742510043,0.826000678,,,1,,,,,,,1,0.010710113,,0.244060756,,,1,0.681283578,0.68937955,,,,,0.637147832,0.56671415,sativa
121,Arjan's Ultra Haze #1,3,0,0.08,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.352941176,,0.847058824,,,1,0.517647059,0.517647059,,,0.235294118,,0.741176471,,,1,,,0.764705882,,,,1,,,0.882352941,,sativa
122,Armageddon,0,0,0.5,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.461538462,,,1,,,,0.8,,,0.153846154,0.533333333,,,0.714285714,,0.523809524,0.307692308,,,0.8,0.952380952,1,,0.952380952,,,0.4,,hybrid
123,Ash,2,0,0.56,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.166666667,,,0.888888889,,,0.444444444,1,,,0.166666667,,,,0.777777778,0.166666667,,,,,0.875,1,1,,0.777777778,,0.875,0.875,,hybrid
124,Asian Fantasy,0,0,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.008902077,0.894484412,0.535714286,0.894484412,1,0.55952381,,1,,,0.068249258,,,,0.944844125,,,0.071216617,,,0.642857143,,0.583333333,,0.896882494,,,,,sativa
125,Aspen OG,3,0,0.5,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,,,,1,,,,1,,,,,0.5,,0.666666667,,0.666666667,,,,0.5,1,,,,,,1,,hybrid
126,Astroboy,0,0,0.3,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.89347079,0.5,1,,0.992581602,0.900593472,,,0.946735395,,,0.5,,0.06185567,,,,0.847181009,0.5,,,1,,0.902061856,,0.793768546,,,,,sativa
127,Atmosphere,2,0,0.5,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366013072,0.666666667,0.75,,0.96875,,,0.5,,0.78125,,0.379084967,,,,,,1,0.215686275,0.8125,,1,,,,,hybrid
128,Atomic,1,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,0.666666667,0.692307692,,,0.384615385,1,,,,,,,0.384615385,,,,,,1,1,,,0.423076923,,,,1,hybrid
129,Atomic Goat,2,0,0.5,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.576923077,,0.653846154,,,,1,,,,,,,1,,,,,0.884615385,0.875,0.653846154,0.25,,,,,0.1875,0.75,hybrid
130,Atomic Northern Lights,1,0,0.57,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.816901408,,,1,,,,0.704,,0.5,0.690140845,0.48,,,0.432291667,,,0.169014085,,,0.576,0.953125,1,,0.494791667,,,,0.528,hybrid
131,Atomical Haze,3,0,0.2,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,0.696132597,0.952380952,1,0.635359116,,1,,,,0.095238095,,,,,,,0.729281768,,,,,,0.142857143,,1,,0.414364641,,0.095238095,,,sativa
132,Aurora Borealis,1,0,0.5,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.946808511,,,0.510638298,1,,,,,,,0.521276596,,0.489361702,,,,0.8,1,1,,,,,,1,hybrid
133,Aurora Indica,0,0,0.9,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,0.004854369,,,0.220717331,,,0.547278656,0.793536804,0.36192626,,1,0.626570916,,,,,,0.019417476,,0.371708051,1,1,0.793536804,,,,,,0.746858169,indica
134,Avalon,3,0,0.5,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,0.5,0.130434783,0.173913043,,0.75,,,0.086956522,0.5,,1,0.130434783,,,,1,,,,,,0.25,hybrid
135,Avi,1,0,0.5,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1,,,,0.5,0.5,1,,,,,,,1,,0.5,,,0.333333333,,,1,1,,,,,,,1,hybrid
136,Avi-Dekel,3,0,0.29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.321285141,0.67003367,0.058823529,,,0.714859438,,,0.385542169,0.828282828,,,0.088235294,,,,0.698795181,0.735294118,,,,,0.579124579,1,1,,,,,0.175084175,,sativa
137,Ayahuasca Purple,2,0,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,0.894311571,0.105773468,,,0.903587444,,,0.445191829,1,,,0.030409872,,,0.772139625,0.580219233,,,,,,0.922430511,1,0.994182288,,0.539362232,,,,,indica
138,Azure Haze,2,0,0.5,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0.923076923,,0.052631579,,0.285714286,0.974358974,,,,0.857142857,,,0.026315789,,,,0.974358974,,,,,,1,1,0.571428571,,0.948717949,,,,0.857142857,hybrid
139,B-52,1,0,0.75,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.991718427,0.556064073,,,0.004347826,,,,0.948240166,,,0.004347826,,,0.533180778,0.677018634,0.52402746,,0.679089027,,,0.956521739,1,indica
140,B-Witched,2,0,0.55,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.195402299,0.574585635,,,,0.333333333,,,0.034013605,1,,0.804597701,0.906077348,,,,0.546961326,,,1,,,0.574585635,,,,0.229885057,hybrid
141,B.B. King,0,0,0.92,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,0.76,0.983050847,,,,,0.973333333,1,0.84,1,0.786666667,,,,,,,,,0.25,,,,1,,,,,,0.966101695,1,indica
142,B4,2,0,0.5,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,0.626126126,,,0.486486486,,0.720720721,,0.689189189,,1,,,,,,,0.693693694,,,,,,0.97972973,1,0.75,,,,,0.689189189,,hybrid
143,BC Big Bud,3,0,0.555,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.134615385,,0.666666667,0.92,0.57,,,1,,,,,,,0.58,0.557692308,,0.115384615,,,0.740740741,1,0.814814815,,0.93,,,,0.62962963,hybrid
144,BC Roadkill,0,0,0.5,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.1875,0.913978495,,0.946236559,0.935483871,,,1,,,0.125,0.461538462,0.307692308,,0.946236559,,,0.1875,,,0.461538462,,0.692307692,,1,,,,,hybrid
145,BC Sweet Tooth,2,0,0.9,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.50660793,,0.096774194,,,0.651982379,1,,,0.366906475,,,,0.194244604,,,0.237885463,0.120967742,,0.048387097,,,0.978417266,0.585903084,0.172661871,,,,,,1,indica
146,BOG Bubble,2,0,0.55,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.928571429,1,0.857142857,,,,,0.066666667,0.142857143,,,,0.928571429,,0.133333333,1,0.933333333,,,,,,1,hybrid
147,BSC,2,0,0.5,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0.416030534,0.00754717,,0.164122137,0.996350365,,,,0.591603053,0.802919708,,0.139622642,,,,,0.00754717,,,0.835766423,0.817518248,1,1,0.996183206,,,,,,,hybrid
148,Bakerstreet,1,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,0.457142857,0.172413793,,,0.666666667,0.511111111,,0.466666667,0.771428571,,,0.172413793,,,,,,,0.206896552,,,0.8,0.977777778,1,,1,,,,0.4,indica
149,Balmoral,1,0,0.5,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184210526,0.222222222,,,,0.934210526,0.144736842,,,1,,,,,,,0.131578947,,,,,,0.444444444,1,0.777777778,,,,,,0.666666667,hybrid
150,Banana Bread,3,0,0.46,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666666667,,,,,0.666666667,0.666666667,,,,,,,,1,1,,1,,,,0.666666667,1,,,,1,,1,1,,hybrid
151,Banana Candy,2,0,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.051282051,,0.85106383,,,,0.86,1,,,,0.85106383,,,,1,,0.051282051,0.82,0.9,,1,0.978723404,,0.16,,,,0.085106383,indica
152,Banana Cream OG,0,0,0.44,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,0.906444906,,,0.65748393,,0.373563218,0.441689624,1,,,,0.420977011,,,0.425160698,,,,,,0.906609195,1,0.672413793,,0.597796143,,,,,hybrid
153,Banana Diesel,2,0,0.5,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,0.544354839,,0.032520325,,,1,,,,1,,,,,0.366666667,,0.544354839,0.016260163,,0.016260163,,,0.6,0.971774194,0.7,,0.556451613,,,0.333333333,,hybrid
154,Banana Hammock R1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.25,1,0.25,,,,0.5,,0.25,,,,0.75,,,1,1,,,,,,1,indica
155,Banana Kush,2,0,0.55,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542491516,0.198077403,,,0.855501085,,,,1,,,,,,,0.580660492,0.100741473,0.469703455,0.082681472,,,0.876634652,1,0.930601051,,0.697633203,,,0.478275665,,hybrid
156,Banana OG,2,0,0.555,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332786578,,0.584653516,0.687408783,,,0.630476071,0.72421232,,,0.309822868,,,,,0.417716491,,,0.531751669,,0.720067491,1,1,,0.90555456,,,,0.780591191,hybrid
157,Banana Peel,2,0,0.5,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.130434783,0.065217391,,,0.5,,,,,0.5,,0.956521739,,,,,,0.5,1,1,,0.173913043,,,0.5,,hybrid
158,Banana Split,0,1,0.375,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.530744337,,,,0.394230769,0.948220065,,,,1,,,0.077464789,,,,0.770226537,0.211267606,,,,,0.591346154,0.74433657,0.447115385,,1,,,0.394230769,,hybrid
159,Bananas,2,0,0.64,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037037037,,,0.921568627,0.529411765,0.462962963,,1,,,0.444444444,,,,0.411764706,,,0.481481481,,,0.518518519,1,0.314814815,,0.803921569,,,,0.259259259,hybrid
160,Bandana,3,0,0.5,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.952380952,,,,0.666666667,,,,,0.666666667,,,,0.142857143,,0.80952381,,1,0.19047619,0.666666667,,1,,,0.333333333,,hybrid
161,Bango,0,0,0.55,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,0.571428571,,0.857142857,,,,,1,,,1,,,,,,1,1,,,,,,,1,hybrid
162,Banjo,2,0,0.54,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.614583333,,0.46875,,,,1,,,0.857142857,,,1,,,,0.71875,,,0.3125,,,1,0.666666667,0.857142857,,0.71875,,0.448979592,,0.551020408,hybrid
163,Barbara Bud,0,0,0.8,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.862857143,,0.873493976,0.817629179,,,0.504559271,1,,,0.068571429,,,,0.118541033,0.034285714,,,,0.376899696,0.909638554,1,,,,,,0.765060241,0.927710843,indica
164,Batman OG,1,0,0.7,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.473684211,,,0.526315789,0.71875,,,1,,,,,,,,0.375,,,,,,0.526315789,1,0.947368421,,0.375,,,,1,indica
165,Bay 11,3,0,0.4,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.964978111,,0.796610169,1,,0.298936836,,0.903993203,,0.958368734,0.756097561,,0.06779661,,,,,,0.773608505,0.06779661,,,,,0.958368734,,,1,,0.910790144,,hybrid
166,Bay Dream,3,0,0.2,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.310559006,0.822571262,0.76287703,1,,,,1,,,0.283229814,0.551276102,0.662180974,,0.908086097,,,0.095652174,0.699534613,,0.819025522,,,,0.92408377,,,,,sativa
167,Bear Dance,0,0,0.28,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.056818182,,,1,0.598829476,,,1,,,1,,0.15625,,0.540835329,,,0.613636364,,,0.383133562,0.636073424,0.205479452,,0.564777866,,0.107020548,,,sativa
168,Beastmode 2.0,0,0,0.97,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,0.5,,0.6,0.084210526,,0.6,,1,0.905263158,,,,,,0.947368421,,,,,,,1,1,,0.957894737,,,,0.8,indica
169,Beastmode OG,3,0,0.61,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.010638298,,0.444444444,0.244565217,,,,1,,,1,,0.444444444,,0.880434783,,1,0.042553191,,,0.333333333,0.260869565,0.777777778,,0.233695652,,,,,hybrid
170,Bedford Glue,3,0,0.39,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.428571429,,,0.214285714,0.642857143,,0.428571429,,,,1,,,,,0.428571429,,,1,,0.428571429,,,0.428571429,,0.428571429,,1,,,hybrid
171,Bedica,1,0,0.82,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.178571429,0.885714286,0.285714286,,,0.553571429,,,0.892857143,0.714285714,,,,,,,,1,,,0.178571429,,,1,1,,,,,0.657142857,0.828571429,indica
172,Bediol,0,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,0.833333333,,0.913793103,,,0.931034483,,,1,,,0.166666667,0.833333333,,,0.948275862,,,,,,,,1,,0.827586207,,,0.833333333,,sativa
173,Belladonna,3,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,0.01369863,1,,0.238888889,,,,1,,,,,0.625,,,0.006849315,,1,0.794444444,,0.75,0.222222222,0.75,,0.85,,,,0.5,hybrid
174,Berkeley,0,0,0.17,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.916666667,,,1,0.042857143,1,0.958333333,,,1,,,1,0.085714286,,,,0.5,,0.666666667,,,0.971428571,,0.042857143,,0.944444444,,,,,sativa
175,Berry Bomb,2,0,0.5,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,0.283333333,,0.073170732,,,0.241666667,,,,0.6,0.108333333,,0.146341463,,,,,,,0.097560976,,,1,1,0.975,,0.166666667,,0.75,,0.35,hybrid
176,Berry Larry,1,0,0.37,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,0.657142857,,,,,0.657142857,,,,1,,,,0.526315789,,,0.742857143,,,,,,1,1,0.684210526,,0.742857143,,,,0.157894737,hybrid
177,Berry Noir,1,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,0.333333333,0.4,,,0.6,1,,,,,,,,,,,0.4,,0.333333333,1,,,0.8,,,,0.333333333,hybrid
178,Berry OG,2,0,0.555,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.169032258,,,,0.933539413,0.215483871,,,0.850322581,0.170015456,,,0.447058824,,0.126738794,,,0.011764706,,0.652941176,,,,1,,,0.361290323,,,0.126738794,1,hybrid
179,Berry White,1,0,0.65,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143022576,,0.498413164,0.733305213,,,,1,,,0.211208132,,0.438135341,,0.471820692,,0.382839476,0.177346413,,,0.844641797,1,0.899787723,,0.653742125,,,,,indica
180,Bertberry Cheesecake,0,0,0.31,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.942222222,,,0.893333333,1,1,0.835555556,,,0.988826816,,,1,,0.804469274,,,0.229166667,,0.229166667,,,0.793296089,,,,0.728888889,,,0.720670391,,sativa
181,Bettie Page,2,0,0.5,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011428571,,,,0.296296296,0.871794872,,0.974358974,,0.95473251,0.022857143,,0.923076923,,0.29218107,,,,,,0.923076923,1,1,,0.843621399,,,,,hybrid
182,Bianca,1,0,0.63,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.518518519,0.481481481,,,1,1,,,,0.444444444,,,,,,,0.481481481,,0.481481481,0.62962963,,,0.518518519,,,,1,hybrid
183,Biddy Early,2,0,0.398574588,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,0.370967742,0.064516129,,0.967741935,1,,,0.024390244,,0.35483871,,,,,,,,0.048387097,1,0.064516129,,0.387096774,,,,0.983870968,hybrid
